Starting at 2016-03-28 02:18:24.858632...

	
Parameters:	
Table:claim_events_simple	
Limit Infrequent Events: 1	
Limit Infrequent Pairs: 1	
Prune KL-Divergence: 0.5	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

Found:1 Checked:214 Candidates:10209  (AssociatedToParty ClaimSentToLFS)
Found:1 Checked:215 Candidates:10208  (AssociatedToParty ClaimSetup)
Found:1 Checked:216 Candidates:10207  (AssociatedToParty ClaimSummary)
Found:1 Checked:217 Candidates:10206  (AssociatedToParty ClaimUnsecured)
Found:1 Checked:218 Candidates:10205  (AssociatedToParty Contact)
Found:1 Checked:219 Candidates:10204  (AssociatedToParty COPSCarAsgSentCRP)
Found:1 Checked:220 Candidates:10203  (AssociatedToParty COPSCarAsgSentPDR)
Found:1 Checked:221 Candidates:10202  (AssociatedToParty Correspondencsent)
Found:1 Checked:222 Candidates:10201  (AssociatedToParty Coverage)
Found:1 Checked:223 Candidates:10200  (AssociatedToParty DocAddInProgress)
Found:1 Checked:224 Candidates:10199  (AssociatedToParty DocumentAdded)
Found:1 Checked:225 Candidates:10198  (AssociatedToParty DocumentFiled)
Found:1 Checked:226 Candidates:10197  (AssociatedToParty EOBSent)
Found:1 Checked:227 Candidates:10196  (AssociatedToParty EORSent)
Found:1 Checked:228 Candidates:10195  (AssociatedToParty FYISent)
Found:1 Checked:229 Candidates:10194  (AssociatedToParty grpPymtSubmit)
Found:1 Checked:230 Candidates:10193  (AssociatedToParty Inbound)
Found:1 Checked:231 Candidates:10192  (AssociatedToParty InitialContact)
Found:1 Checked:232 Candidates:10191  (AssociatedToParty IsoAutUpdRpt)
Found:1 Checked:233 Candidates:10190  (AssociatedToParty IsoDataErrRpt)
Found:1 Checked:234 Candidates:10189  (AssociatedToParty IsoMatchRpt)
Found:1 Checked:235 Candidates:10188  (AssociatedToParty IsoNoMatchRpt)
Found:1 Checked:236 Candidates:10187  (AssociatedToParty ItemCompleteDenial)
Found:1 Checked:237 Candidates:10186  (AssociatedToParty ItmReAssToFHndler)
Found:1 Checked:238 Candidates:10185  (AssociatedToParty LiabilityAnalysis)
Found:1 Checked:239 Candidates:10184  (AssociatedToParty makePaymentSubmit)
Found:1 Checked:240 Candidates:10183  (AssociatedToParty ManualDeny)
Found:1 Checked:241 Candidates:10182  (AssociatedToParty ManualPayment)
Found:1 Checked:242 Candidates:10181  (AssociatedToParty Medical)
Found:1 Checked:243 Candidates:10180  (AssociatedToParty Medicare)
Found:1 Checked:244 Candidates:10179  (AssociatedToParty MedicareNotify)
Found:1 Checked:245 Candidates:10178  (AssociatedToParty MoveFromInvstigatn)
Found:1 Checked:246 Candidates:10177  (AssociatedToParty MovefromParty)
Found:1 Checked:247 Candidates:10176  (AssociatedToParty MovetoParty)
Found:1 Checked:248 Candidates:10175  (AssociatedToParty MultDocAddBegin)
Found:1 Checked:249 Candidates:10174  (AssociatedToParty MultipleDocAdded)
Found:1 Checked:250 Candidates:10173  (AssociatedToParty MutliEOBSent)
Found:1 Checked:251 Candidates:10172  (AssociatedToParty Outbound)
Found:1 Checked:252 Candidates:10171  (AssociatedToParty OwRetTLWComTtlLoss)
Found:1 Checked:253 Candidates:10170  (AssociatedToParty PartyAdded)
Found:1 Checked:254 Candidates:10169  (AssociatedToParty PartyEdited)
Found:1 Checked:255 Candidates:10168  (AssociatedToParty PerilActivity)
Found:1 Checked:256 Candidates:10167  (AssociatedToParty Perils/Reserves)
Found:1 Checked:257 Candidates:10166  (AssociatedToParty PhvcNotice)
Found:1 Checked:258 Candidates:10165  (AssociatedToParty RcvdTranscriptn)
Found:1 Checked:259 Candidates:10164  (AssociatedToParty ReasonforEscalation)
Found:1 Checked:260 Candidates:10163  (AssociatedToParty ReceiptItem)
Found:1 Checked:261 Candidates:10162  (AssociatedToParty recordManualPymt)
Found:1 Checked:262 Candidates:10161  (AssociatedToParty RefAssign)
Found:1 Checked:263 Candidates:10160  (AssociatedToParty RefCompPDVE)
Found:1 Checked:264 Candidates:10159  (AssociatedToParty Referral)
Found:1 Checked:265 Candidates:10158  (AssociatedToParty RefRemFromInbox)
Found:1 Checked:266 Candidates:10157  (AssociatedToParty RefRespAuthority)
Found:1 Checked:267 Candidates:10156  (AssociatedToParty RefRespBTCD)
Found:1 Checked:268 Candidates:10155  (AssociatedToParty RefRespCSLT)
Found:1 Checked:269 Candidates:10154  (AssociatedToParty RefRespFS)
Found:1 Checked:270 Candidates:10153  (AssociatedToParty RefRespGeneral)
Found:1 Checked:271 Candidates:10152  (AssociatedToParty RefRespPD)
