Starting at 2016-03-01 17:27:23.231555...

	
Parameters:	
Limit Infrequent Events: False	
Limit Infrequent Pairs: False	
Prune KL-Divergence: False	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

Found:0 Checked:167 Candidates:2434  (AssRouteToOffice COPSCarAsgSentCRP)
Found:0 Checked:168 Candidates:2433  (AssRouteToOffice COPSCarAsgSentPDR)
Found:0 Checked:169 Candidates:2432  (AssRouteToOffice Correspondencsent)
Found:0 Checked:170 Candidates:2431  (AssRouteToOffice DocAddInProgress)
Found:0 Checked:171 Candidates:2430  (AssRouteToOffice DocumentAdded)
Found:0 Checked:172 Candidates:2429  (AssRouteToOffice FYISent)
Found:0 Checked:173 Candidates:2428  (AssRouteToOffice grpPymtSubmit)
Found:0 Checked:174 Candidates:2427  (AssRouteToOffice Inbound)
Found:0 Checked:175 Candidates:2426  (AssRouteToOffice InitialContact)
Found:0 Checked:176 Candidates:2425  (AssRouteToOffice IsoMatchRpt)
Found:0 Checked:177 Candidates:2424  (AssRouteToOffice IsoNoMatchRpt)
Found:0 Checked:178 Candidates:2423  (AssRouteToOffice LiabilityAnalysis)
Found:0 Checked:179 Candidates:2422  (AssRouteToOffice makePaymentSubmit)
Found:0 Checked:180 Candidates:2421  (AssRouteToOffice MultDocAddBegin)
Found:0 Checked:181 Candidates:2420  (AssRouteToOffice MultipleDocAdded)
Found:0 Checked:182 Candidates:2419  (AssRouteToOffice Outbound)
Found:0 Checked:183 Candidates:2418  (AssRouteToOffice PartyAdded)
Found:0 Checked:184 Candidates:2417  (AssRouteToOffice PartyEdited)
Found:0 Checked:185 Candidates:2416  (AssRouteToOffice PerilActivity)
Distribution for (AssRouteToOffice 3,4 PerilActivity)
N_a: 2, N_ab: 2, Critical interval: ((3, 4)), P(success): 0.1597, p_value: 0.0255

Found:1 Checked:186 Candidates:2519  (AssRouteToOffice ReasonforEscalation)
Found:1 Checked:187 Candidates:2518  (AssRouteToOffice ReceiptItem)
Found:1 Checked:188 Candidates:2517  (AssRouteToOffice recordManualPymt)
Found:1 Checked:189 Candidates:2516  (AssRouteToOffice RefCompPDVE)
Found:1 Checked:190 Candidates:2515  (AssRouteToOffice Referral)
Found:1 Checked:191 Candidates:2514  (AssRouteToOffice RefRemFromInbox)
Found:1 Checked:192 Candidates:2513  (AssRouteToOffice RefRespPD)
Found:1 Checked:193 Candidates:2512  (AssRouteToOffice RefRespPDVE)
Found:1 Checked:194 Candidates:2511  (AssRouteToOffice RefSentPD)
Found:1 Checked:195 Candidates:2510  (AssRouteToOffice RefSentPDVE)
Found:1 Checked:196 Candidates:2509  (AssRouteToOffice Rental)
Found:1 Checked:197 Candidates:2508  (AssRouteToOffice ReviewRemFromInbox)
Distribution for (AssRouteToOffice 1,2 ReviewRemFromInbox)
N_a: 2, N_ab: 2, Critical interval: ((1, 2)), P(success): 0.1597, p_value: 0.0255

Found:2 Checked:198 Candidates:2613  (AssRouteToOffice RouteToInbox)
Found:2 Checked:199 Candidates:2612  (AssRouteToOffice Subrogation)
Found:2 Checked:200 Candidates:2611  (AssRouteToOffice SuspendedItem)
Distribution for (AssRouteToOffice 0,2 SuspendedItem)
N_a: 3, N_ab: 3, Critical interval: ((0, 2)), P(success): 0.2632, p_value: 0.0182

Found:3 Checked:201 Candidates:2718  (AssRouteToOffice Suspense)
Found:3 Checked:202 Candidates:2717  (AssRouteToOffice UnsuspendedItem)
Found:3 Checked:203 Candidates:2716  (AssRouteToOffice Vehicle)
Distribution for (AssRouteToOffice 3,5 Vehicle)
N_a: 3, N_ab: 3, Critical interval: ((3, 5)), P(success): 0.2297, p_value: 0.0121

Found:4 Checked:204 Candidates:2825  (AssRouteToOffice VehicleEdited)
