Starting at 2016-03-01 22:10:02.223216...

	
Parameters:	
Table:claim_events_100op	
Limit Infrequent Events: 10	
Limit Infrequent Pairs: 10	
Prune KL-Divergence: False	
Window: 12	
Laplace Pseudocounts: 1	
P-value Threshold: 0.001	

Found:0 Checked:164 Candidates:2105  (AssRouteToOffice RefCompPDVE)
Found:0 Checked:165 Candidates:2104  (AssRouteToOffice Referral)
Found:0 Checked:166 Candidates:2103  (AssRouteToOffice RefRemFromInbox)
Found:0 Checked:167 Candidates:2102  (AssRouteToOffice RefSentPDVE)
Found:0 Checked:168 Candidates:2101  (AssRouteToOffice Rental)
Found:0 Checked:169 Candidates:2100  (AssRouteToOffice ReviewRemFromInbox)
Distribution for (AssRouteToOffice 1,3 ReviewRemFromInbox)
N_a: 10, N_ab: 10, Critical interval: ((1, 3)), P(success): 0.4213, p_value: 0.0002

Found:1 Checked:170 Candidates:2129  (AssRouteToOffice RouteToInbox)
Found:1 Checked:171 Candidates:2128  (AssRouteToOffice SuspendedItem)
Found:1 Checked:172 Candidates:2127  (AssRouteToOffice Suspense)
Found:1 Checked:173 Candidates:2126  (AssRouteToOffice UnsuspendedItem)
Found:1 Checked:174 Candidates:2125  (AssRouteToOffice Vehicle)
Found:1 Checked:175 Candidates:2124  (AssRouteToOffice VehicleEdited)
Found:1 Checked:176 Candidates:2123  (AssToFileHandler AssociatedToClaim)
Found:1 Checked:177 Candidates:2122  (AssToFileHandler AssociatedToParty)
Found:1 Checked:178 Candidates:2121  (AssToFileHandler AssReRouteQueue)
Found:1 Checked:179 Candidates:2120  (AssToFileHandler AssRouteToOffice)
Found:1 Checked:180 Candidates:2119  (AssToFileHandler AssToFileHandler)
Found:1 Checked:181 Candidates:2118  (AssToFileHandler AudatexReceipt)
Found:1 Checked:182 Candidates:2117  (AssToFileHandler ClaimActivityLog)
Distribution for (AssToFileHandler 1,2 ClaimActivityLog)
N_a: 60, N_ab: 34, Critical interval: ((1, 2)), P(success): 0.3564, p_value: 0.0007

Found:2 Checked:183 Candidates:2206  (AssToFileHandler ClaimClosed)
Found:2 Checked:184 Candidates:2205  (AssToFileHandler ClaimEdited)
Distribution for (AssToFileHandler 1,2 ClaimEdited)
N_a: 29, N_ab: 18, Critical interval: ((1, 2)), P(success): 0.2616, p_value: 0.0001

Found:3 Checked:185 Candidates:2268  (AssToFileHandler ClaimReopened)
Found:3 Checked:186 Candidates:2267  (AssToFileHandler ClaimReported)
Found:3 Checked:187 Candidates:2266  (AssToFileHandler ClaimSetup)
Found:3 Checked:188 Candidates:2265  (AssToFileHandler ClaimSummary)
Found:3 Checked:189 Candidates:2264  (AssToFileHandler Contact)
Found:3 Checked:190 Candidates:2263  (AssToFileHandler COPSCarAsgSentCRP)
Found:3 Checked:191 Candidates:2262  (AssToFileHandler COPSCarAsgSentPDR)
Found:3 Checked:192 Candidates:2261  (AssToFileHandler Correspondencsent)
Found:3 Checked:193 Candidates:2260  (AssToFileHandler Coverage)
Found:3 Checked:194 Candidates:2259  (AssToFileHandler DocAddInProgress)
Found:3 Checked:195 Candidates:2258  (AssToFileHandler DocumentAdded)
Found:3 Checked:196 Candidates:2257  (AssToFileHandler DocumentFiled)
Found:3 Checked:197 Candidates:2256  (AssToFileHandler FYISent)
Found:3 Checked:198 Candidates:2255  (AssToFileHandler grpPymtSubmit)
Found:3 Checked:199 Candidates:2254  (AssToFileHandler Inbound)
Found:3 Checked:200 Candidates:2253  (AssToFileHandler InitialContact)
Distribution for (AssToFileHandler 1,2 InitialContact)
N_a: 35, N_ab: 20, Critical interval: ((1, 2)), P(success): 0.2871, p_value: 0.0004

Found:4 Checked:201 Candidates:2324  (AssToFileHandler IsoMatchRpt)
Found:4 Checked:202 Candidates:2323  (AssToFileHandler IsoNoMatchRpt)
Found:4 Checked:203 Candidates:2322  (AssToFileHandler ItmReAssToFHndler)
Found:4 Checked:204 Candidates:2321  (AssToFileHandler LiabilityAnalysis)
Distribution for (AssToFileHandler 1,2 LiabilityAnalysis)
N_a: 27, N_ab: 15, Critical interval: ((1, 2)), P(success): 0.2484, p_value: 0.0006

Found:5 Checked:205 Candidates:2378  (AssToFileHandler makePaymentSubmit)
Found:5 Checked:206 Candidates:2377  (AssToFileHandler MultDocAddBegin)
Found:5 Checked:207 Candidates:2376  (AssToFileHandler MultipleDocAdded)
Found:5 Checked:208 Candidates:2375  (AssToFileHandler Outbound)
Found:5 Checked:209 Candidates:2374  (AssToFileHandler PartyAdded)
Found:5 Checked:210 Candidates:2373  (AssToFileHandler PartyEdited)
Found:5 Checked:211 Candidates:2372  (AssToFileHandler PerilActivity)
Found:5 Checked:212 Candidates:2371  (AssToFileHandler PropertyDamages)
Found:5 Checked:213 Candidates:2370  (AssToFileHandler PropEstSent)
Found:5 Checked:214 Candidates:2369  (AssToFileHandler ReasonforEscalation)
Found:5 Checked:215 Candidates:2368  (AssToFileHandler ReceiptItem)
Found:5 Checked:216 Candidates:2367  (AssToFileHandler ReceiptXactware)
